Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Internações por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2018;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2017/Fev;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;Total
Rondônia;-;-;-;-;-;4;17;92;217;402;852;746;1054;1185;1612;1594;1311;1134;1096;946;826;531;13619
Acre;-;-;-;-;-;-;1;17;59;138;234;222;279;324;397;381;359;305;267;224;105;67;3379
Amazonas;-;-;-;-;-;-;2;76;201;495;1076;1090;1425;1550;1906;1821;1522;1425;1178;1019;798;547;16131
Roraima;-;-;-;-;-;-;15;78;118;167;223;178;232;224;318;521;557;483;280;240;115;72;3821
Pará;1;-;-;-;-;3;8;146;710;1868;3915;3516;4744;6064;6462;5948;4429;4231;4113;3887;3130;1994;55169
Amapá;-;-;-;-;-;1;2;11;48;152;238;213;260;347;523;537;502;360;301;315;245;85;4140
Tocantins;-;-;-;-;-;-;6;54;96;214;421;449;650;743;887;686;465;408;396;421;353;188;6437
Maranhão;-;-;-;-;-;1;14;141;270;935;3197;3041;4097;4880;6064;5022;4437;3879;3561;3605;3009;2085;48239
Piauí;-;-;-;-;-;1;11;45;156;525;1864;1604;2176;2555;2748;2259;2133;1873;1873;1715;1695;1286;24519
Ceará;-;-;-;-;1;3;38;270;596;1689;3535;3172;4509;5768;5875;5141;4473;4183;3923;3817;3042;1739;51774
Rio Grande do Norte;-;-;-;-;-;5;24;105;179;328;758;730;1006;1131;1437;1169;1182;1070;895;791;688;430;11928
Paraíba;-;-;-;-;-;6;18;56;172;604;1411;1335;1666;1813;2376;2111;1951;1957;1678;1669;1332;795;20950
Pernambuco;-;-;-;-;-;1;6;80;219;1098;2740;2389;3288;4084;4839;4580;4159;3854;3463;3480;2864;1977;43121
Alagoas;-;-;-;-;-;6;7;88;165;387;839;711;949;1207;1540;1432;1227;1195;1053;973;771;446;12996
Sergipe;-;-;-;-;1;5;34;144;209;289;547;450;619;748;1119;970;861;751;587;482;313;122;8251
Bahia;-;-;1;1;1;23;106;411;907;2713;5859;4805;6730;8572;9436;8100;8082;7355;6450;6052;4856;2935;83397
Minas Gerais;-;-;1;1;2;5;92;648;1457;3833;8452;7036;10502;11771;13628;13008;13021;11061;9897;8647;7925;5291;126278
Espírito Santo;-;-;-;-;-;-;40;235;471;868;1357;1268;2016;2361;2631;2038;1967;2026;1802;1550;1041;687;22358
Rio de Janeiro;-;-;-;-;3;16;81;438;750;1809;3038;2591;3843;5340;6228;5565;5021;4617;4238;4004;3099;1676;52357
São Paulo;-;-;-;-;8;28;113;705;1906;5909;13946;13846;19216;23448;24083;24097;21443;19836;18264;18734;16957;10475;233015
Paraná;-;-;-;-;11;15;45;437;987;2699;5953;5663;7413;8762;9356;10525;11062;9063;8142;7549;6655;3870;98207
Santa Catarina;-;-;-;-;-;1;18;192;639;1529;3214;3129;3892;4327;5107;6314;6947;5831;5048;4597;3852;1863;56500
Rio Grande do Sul;-;-;-;-;4;22;82;302;1026;2861;5329;4321;6342;6783;7882;9844;12390;11148;8892;7770;5372;2437;92807
Mato Grosso do Sul;-;-;-;-;-;8;53;192;473;879;1170;1059;1722;2020;2071;2234;2181;1688;1636;1334;865;333;19918
Mato Grosso;-;-;-;-;1;-;8;37;119;482;1196;1094;1979;2256;2085;1768;1564;1481;1420;1388;1151;778;18807
Goiás;-;-;-;-;1;5;15;187;346;1135;2471;2363;3551;3938;3350;2766;2627;2378;2502;2307;2073;1444;33459
Distrito Federal;-;2;-;1;4;8;73;340;492;665;987;911;1678;1841;1795;1272;1143;1158;1175;1085;1071;534;16235
 ;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;
