Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Internações por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2019;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2018/Jan;2018/Fev;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;Total
Rondônia;-;1;-;-;1;1;15;111;169;324;841;986;1511;1467;1487;1185;1045;950;937;860;816;473;13180
Acre;-;-;-;-;-;6;18;31;41;119;257;243;335;360;336;274;237;283;232;254;167;112;3305
Amazonas;-;1;-;-;-;-;3;121;183;453;1036;1551;2225;1725;1484;1367;1287;1392;1073;1288;947;515;16651
Roraima;-;-;-;-;-;-;9;36;134;174;237;240;219;249;288;433;435;416;379;323;241;87;3900
Pará;1;-;1;-;1;2;26;130;455;1460;3760;3780;5387;6614;6981;5487;4084;3660;3862;3920;3386;2038;55035
Amapá;-;-;-;-;-;-;-;3;45;199;294;289;458;639;639;558;413;338;334;374;380;201;5164
Tocantins;-;-;-;-;-;1;16;77;134;301;442;455;767;900;749;640;481;528;559;477;395;294;7216
Maranhão;-;-;-;-;-;-;10;96;386;1090;3291;3287;4797;5486;5311;4403;3871;3533;3396;3348;3127;2086;47518
Piauí;-;-;-;-;-;-;5;44;105;478;1779;1723;2522;2646;2555;2249;2189;1981;1970;2008;1623;1057;24934
Ceará;-;-;-;-;-;6;44;269;634;1590;3843;4498;5999;6174;6078;4672;4090;4149;4137;3906;3147;1858;55094
Rio Grande do Norte;-;-;-;-;1;5;41;130;254;381;806;785;1127;1280;1302;1046;978;888;890;703;654;442;11713
Para√≠ba;-;-;-;-;1;5;10;55;264;653;1416;1364;2132;2428;2370;2022;1957;1976;1843;1741;1451;892;22580
Pernambuco;-;-;-;-;-;1;5;101;366;1321;3272;3274;4361;4673;4807;4054;3762;4377;4188;3925;3411;2178;48076
Alagoas;-;-;-;1;1;7;11;64;102;373;923;780;957;1209;1444;1128;1168;1036;1010;1085;811;505;12615
Sergipe;-;-;-;-;-;2;18;127;237;392;459;428;618;891;828;726;680;717;701;639;380;194;8037
Bahia;-;1;-;1;-;11;90;382;876;3063;5725;4678;5950;7805;9467;8340;8230;7592;6638;6231;4757;2725;82562
Minas Gerais;-;-;-;-;1;12;98;685;1573;4292;8353;7367;10100;12188;13921;13256;13603;11729;10620;9367;7430;5223;129818
Espirito Santo;-;-;-;-;-;1;17;347;616;1004;1329;1170;1726;2042;2219;1986;2217;2065;1961;1537;934;547;21718
Rio de Janeiro;-;-;-;2;4;9;56;374;896;2025;3378;2998;3735;5449;6443;5506;4947;4420;4165;3952;3255;2042;53656
S√£o Paulo;1;1;-;1;12;29;112;857;1806;5750;13892;13700;18543;23356;23623;23199;20337;20017;18634;19027;15538;10284;228719
Paraná;-;-;-;1;2;20;59;601;1114;2661;5937;5679;7576;8975;10277;9977;9418;8413;8067;7408;5780;3743;95708
Santa Catarina;-;-;1;-;2;3;19;190;562;1615;3139;3018;3909;4533;5697;5913;6074;5387;5165;5205;3784;2120;56336
Rio Grande do Sul;-;-;-;2;5;38;109;422;1111;2997;5031;4415;5971;6900;9165;10465;10795;10124;8894;7918;5117;2546;92025
Mato Grosso do Sul;-;1;-;-;1;13;40;265;671;1097;1164;1118;1675;1848;2125;2263;1761;1962;1726;1333;849;337;20249
Mato Grosso;1;-;-;-;-;2;7;58;265;541;1227;1213;1939;2261;2193;1730;1734;1532;1610;1412;1132;808;19665
Goiás;-;-;-;1;9;43;42;156;308;1065;2210;2455;3394;3671;3685;3535;3082;2981;2733;2769;2261;1537;35937
Distrito Federal;-;-;-;-;2;3;22;107;304;838;1086;1243;2260;2522;2248;1865;1628;1581;1323;1111;852;544;19539
Total;3;5;2;9;43;220;902;5839;13611;36256;75127;72737;100193;118291;127722;118279;110503;104027;97047;92121;72625;45388;1190950
