Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Internações por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2020;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2019/Jan;2019/Fev;2019/Abr;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;Total
Rondônia;-;-;-;-;-;1;-;13;90;131;315;742;847;528;393;382;422;464;400;361;336;224;5649
Acre;-;-;-;-;-;2;4;18;27;56;129;243;266;183;82;103;107;150;175;188;117;65;1915
Amazonas;-;-;-;-;-;-;-;2;12;202;621;1079;1372;884;609;546;776;819;762;860;832;535;9911
Roraima;-;-;-;-;-;-;-;-;4;60;133;246;246;137;103;275;204;215;170;187;180;95;2255
Pará;-;-;-;-;-;2;7;42;203;514;1795;4172;4884;2489;2819;2160;2422;2767;2417;2515;2167;1324;32699
Amapá;-;-;-;-;-;-;-;1;1;8;138;370;331;119;104;92;142;249;184;154;60;50;2003
Tocantins;-;-;-;-;-;-;-;20;180;319;364;697;684;335;279;296;304;308;253;224;179;97;4539
Maranhão;-;-;-;-;-;-;-;5;63;291;1108;3587;4561;2355;2369;2108;2173;2156;1928;1957;1624;876;27161
Piauí;-;-;-;-;-;-;-;21;64;163;643;1827;2152;1096;1093;1255;1132;1183;1231;1142;1044;774;14820
Ceará;-;-;-;-;-;-;7;36;353;774;1712;3763;4666;2235;1860;1721;1813;1804;1890;1787;1267;768;26456
Rio Grande do Norte;-;-;-;-;-;-;68;101;146;185;341;732;938;475;422;428;515;585;628;672;490;326;7052
Paraíba;-;-;-;-;-;3;4;27;102;234;570;1343;1440;796;694;623;732;747;704;846;741;529;10135
Pernambuco;-;-;-;-;-;1;-;2;225;382;1132;2941;3250;1947;1823;1465;1618;1946;2019;1965;1445;848;23009
Alagoas;-;-;-;-;-;1;-;10;27;73;301;802;840;577;483;513;631;702;622;740;607;305;7234
Sergipe;-;-;1;-;-;-;-;22;116;277;394;544;565;316;285;304;342;428;472;338;189;89;4682
Bahia;-;-;-;-;1;4;29;141;488;979;2410;5145;5328;3223;3058;3215;3336;3329;3438;3542;2988;1779;42433
Minas Gerais;-;1;-;-;2;1;6;51;471;1337;3774;8676;10528;5797;5928;6063;7348;6926;5975;5772;5156;3212;77024
Espirito Santo;-;-;-;-;-;-;1;49;448;610;827;1256;1562;1217;1011;1112;1316;1245;1126;974;777;386;13917
Rio de Janeiro;-;-;-;1;-;3;9;58;299;721;1706;3234;3836;3703;3549;3306;3503;3293;3273;3188;3010;1914;38606
São Paulo;-;-;-;-;1;5;15;79;404;1145;5026;15729;20612;12917;13617;12726;14423;13290;12444;12632;11067;6771;152903
Paraná;-;-;-;-;1;7;41;159;503;1109;2613;5851;6673;4308;4139;4035;4161;4140;4120;3692;3330;1473;50355
Santa Catarina;-;-;-;-;1;-;3;25;137;397;1419;3275;3830;2263;2066;2408;2407;2311;2276;2450;2144;1017;28429
Rio Grande do Sul;-;-;-;-;-;7;16;90;396;901;2733;4294;5555;3532;3686;3917;4030;4152;3888;3881;3305;1521;45904
Mato Grosso do Sul;-;-;-;-;-;-;6;64;235;500;881;1121;1621;848;849;863;1065;968;885;705;488;213;11312
Mato Grosso;-;-;-;-;-;-;4;14;110;244;520;1206;1487;824;771;849;825;809;784;745;561;386;10139
Goiás;1;-;-;-;1;8;18;31;123;344;1207;2697;3041;1667;1592;1605;1742;1548;1409;1303;1091;713;20141
Distrito Federal;-;-;-;-;1;-;-;7;84;326;487;1212;1556;827;855;963;1012;929;730;676;666;388;10719
Total;1;1;1;1;8;45;238;1088;5311;12282;33299;76784;92671;55598;54539;53333;58501;57463;54203;53496;45861;26678;681402
