Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Internações por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2022;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;Total
Rondônia;-;-;-;-;-;-;1;45;123;420;1247;705;1351;1472;1685;1434;1087;910;1073;974;834;515;13876
Acre;-;-;-;-;-;-;2;30;92;254;494;227;324;521;559;518;398;305;269;268;238;128;4627
Amazonas;-;-;-;-;-;2;9;48;296;1062;1827;1131;1821;2109;2232;2031;1941;1718;1501;1257;978;672;20635
Roraima;-;-;-;-;-;-;8;62;185;259;299;241;343;306;520;619;438;485;398;200;96;70;4529
Pará;-;-;-;-;1;-;15;259;494;2500;5925;2688;4026;5089;6365;5385;4285;3482;3827;3760;3217;1963;53283
Amapá;-;-;-;-;-;-;-;9;70;188;514;245;386;520;565;480;380;331;363;351;239;134;4775
Tocantins;-;-;-;-;-;-;24;135;202;386;948;498;794;893;854;672;540;543;577;380;296;194;7936
Maranhão;-;-;-;-;-;2;13;106;349;2485;6959;2840;4043;4810;5786;5574;4621;3702;3689;3366;3019;2061;53425
Piauí;-;-;-;-;1;-;2;59;168;695;3063;1448;1775;2290;2423;2346;2049;1932;1801;1632;1520;1208;24412
Ceará;-;-;-;1;1;3;38;268;667;1795;5162;2746;4631;6558;8047;6189;4342;4823;4528;4345;3445;2108;59697
Rio Grande do Norte;-;-;-;-;-;6;17;57;162;418;1283;791;883;1325;1663;1402;1046;1085;1022;892;772;450;13274
Paraíba;-;-;-;1;1;4;14;91;216;500;1973;1062;1615;2236;2740;2533;1980;1896;1685;1651;1426;810;22434
Pernambuco;-;-;-;-;-;-;6;81;496;1518;4364;2389;3586;4604;5895;6242;4750;5123;4060;4091;3923;2865;53994
Alagoas;-;-;-;-;-;-;8;53;68;404;1062;634;910;916;1119;1232;1064;1051;952;934;745;400;11552
Sergipe;-;-;-;-;-;-;7;97;291;709;1103;575;858;852;1019;964;892;875;813;672;357;143;10227
Bahia;-;1;1;-;1;8;59;285;770;3297;8805;4286;5630;6444;7391;7097;6260;6145;5721;5406;4305;2741;74655
Minas Gerais;-;-;-;-;5;9;73;516;1507;5824;14991;8012;10512;10540;13250;14414;12849;11639;11377;9991;8572;5806;139887
Espirito Santo;-;-;-;-;-;-;26;252;504;1481;2324;1243;1833;1960;2269;2566;2121;1929;1921;1523;1136;561;23649
Rio de Janeiro;1;-;-;1;1;139;49;395;1076;3383;4633;4010;5860;6192;7296;6985;6580;6329;5410;5050;4212;2332;69934
São Paulo;-;-;-;-;2;14;73;597;1810;9377;19766;13373;18266;20540;22832;22358;20043;19822;19081;20088;17315;11435;236792
Paraná;-;-;-;-;1;15;97;729;1514;3405;6058;4194;5697;7980;10486;10695;9308;7968;6980;6745;5614;3606;91093
Santa Catarina;-;-;-;-;1;5;34;304;774;2120;3932;2790;3689;5022;6475;6873;5881;4961;4479;3915;3322;1886;56463
Rio Grande do Sul;-;-;-;-;4;28;60;604;1468;3250;5894;4080;5667;7999;10901;11412;10589;8686;7613;7057;5439;2774;93525
Mato Grosso do Sul;-;-;-;-;-;6;56;288;541;1160;1966;1096;1481;1997;2480;2446;2270;1862;1649;1127;910;347;21682
Mato Grosso;-;-;-;-;-;4;16;138;176;684;1853;993;1775;2042;1962;1924;1606;1488;1449;1603;1249;749;19711
Goiás;-;-;-;1;4;4;18;94;342;1259;3744;2091;2701;2605;2986;3203;2661;2792;2866;2558;2032;1411;33372
Distrito Federal;-;-;-;-;-;2;5;96;353;977;1969;1254;2430;2167;2155;1982;1561;1502;1448;1226;1006;730;20863
Total;1;1;1;4;23;251;730;5698;14714;49810;112158;65642;92887;109989;131955;129576;111542;103384;96552;91062;76217;48099;1240302
