Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Óbitos por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2019;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2017/Out;2018/Fev;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;Total
Rondônia;-;-;-;-;1;1;5;9;11;32;60;53;69;77;66;46;42;48;55;47;35;29;686
Acre;-;-;-;-;-;2;7;9;6;25;29;34;26;45;36;27;28;41;26;26;18;11;396
Amazonas;-;1;-;-;-;-;-;28;28;49;75;96;109;87;85;75;57;90;95;80;68;19;1042
Roraima;-;-;-;-;-;-;-;1;-;15;19;24;21;19;24;33;39;40;20;22;17;13;307
Pará;-;-;1;-;-;-;6;21;41;87;162;157;197;189;219;193;185;174;156;141;128;78;2135
Amapá;-;-;-;-;-;-;-;1;5;14;21;20;21;36;28;24;25;17;14;23;12;10;271
Tocantins;-;-;-;-;-;-;2;12;20;32;46;43;39;59;53;50;44;49;58;30;17;3;557
Maranhão;-;-;-;-;-;-;-;10;25;71;134;117;154;158;181;149;144;129;120;140;91;50;1673
Piauí;-;-;-;-;-;-;1;4;13;42;119;100;106;137;132;121;93;103;113;110;106;66;1366
Ceará;-;-;-;-;-;-;11;41;94;181;364;324;448;509;511;392;378;374;362;349;313;159;4810
Rio Grande do Norte;-;-;-;-;-;2;6;12;19;57;105;90;95;122;136;120;93;85;84;104;71;51;1252
Paraíba;-;-;-;-;-;-;1;10;31;91;150;126;178;163;237;190;168;174;141;137;109;70;1976
Pernambuco;1;-;-;-;-;-;-;4;25;128;292;258;302;329;343;324;290;364;316;296;284;170;3726
Alagoas;-;-;-;1;-;-;2;7;14;59;99;92;100;104;136;101;90;96;109;105;73;35;1223
Sergipe;-;-;-;-;-;-;4;18;35;71;86;47;77;83;89;78;91;76;58;48;18;7;886
Bahia;-;-;-;-;-;2;8;36;97;251;425;389;445;412;557;521;569;518;463;394;333;175;5595
Minas Gerais;-;-;-;-;1;1;8;70;143;458;890;743;836;898;1041;1102;1301;1075;981;837;661;464;11510
Espirito Santo;-;-;-;-;-;1;2;26;50;103;129;116;128;125;164;154;171;174;135;107;80;42;1707
Rio de Janeiro;-;-;1;-;1;5;10;53;136;323;558;485;514;621;713;626;654;604;539;512;368;192;6915
São Paulo;-;-;1;-;-;3;22;104;202;843;1826;1502;1735;1743;2125;2536;2497;2069;1952;1867;1518;990;23537
Paraná;-;-;-;1;1;8;8;73;140;291;503;407;524;484;568;632;630;557;577;478;323;193;6398
Santa Catarina;-;-;1;-;1;-;2;20;70;206;320;308;326;339;396;474;507;466;416;396;281;130;4659
Rio Grande do Sul;-;-;-;-;-;3;14;49;132;414;657;554;590;671;757;849;1159;1021;827;716;491;215;9119
Mato Grosso do Sul;-;-;-;-;-;1;4;41;79;106;125;104;118;141;158;193;148;178;151;94;58;20;1719
Mato Grosso;-;-;-;-;-;1;-;7;22;60;89;89;121;120;167;130;144;114;111;105;65;32;1377
Goiás;-;-;-;-;1;7;8;25;38;111;175;183;193;224;249;253;221;234;199;192;149;95;2557
Distrito Federal;-;-;-;-;-;-;2;7;24;62;79;51;59;89;76;76;53;64;60;54;25;10;791
Total;1;1;4;2;6;37;133;698;1500;4182;7537;6512;7531;7984;9247;9469;9821;8934;8138;7410;5712;3329;98190
