Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Óbitos por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2021;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2020/Jan;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;Total
Rondônia;-;-;-;-;-;-;-;-;2;22;52;42;60;46;51;50;46;42;28;35;31;23;530
Acre;-;-;-;-;-;-;-;1;7;30;26;38;24;33;30;19;34;30;29;23;26;11;361
Amazonas;-;-;-;-;-;-;2;1;30;64;395;183;94;72;69;66;74;71;85;99;54;47;1406
Roraima;-;-;-;-;-;-;-;-;1;10;39;36;17;17;16;16;22;20;13;19;8;14;248
Pará;1;-;-;-;-;-;2;16;47;120;202;175;243;165;163;144;170;177;166;142;138;101;2172
Amapá;-;-;-;-;-;-;-;-;1;8;9;8;23;23;12;16;15;13;5;12;8;9;162
Tocantins;-;-;-;-;-;-;3;14;19;41;51;38;54;40;49;54;35;43;42;16;13;4;516
Maranhão;-;-;-;-;-;1;-;4;19;61;111;136;155;131;122;102;118;122;113;156;109;89;1549
Piauí;-;-;-;-;-;-;1;6;24;40;99;92;111;88;89;94;94;110;104;108;95;49;1204
Ceará;-;-;-;1;5;13;12;42;83;173;278;272;441;388;352;303;299;308;305;313;255;182;4025
Rio Grande do Norte;-;-;-;-;-;-;1;4;13;46;101;99;119;86;99;75;101;110;93;107;92;50;1196
Paraíba;-;-;-;-;-;1;4;5;21;86;146;129;155;145;137;168;141;151;151;146;97;96;1779
Pernambuco;-;-;-;-;-;-;-;5;27;53;157;159;208;225;231;207;219;220;227;227;225;153;2543
Alagoas;-;1;-;-;-;-;3;10;21;56;77;74;91;90;121;75;112;114;79;87;68;43;1122
Sergipe;-;-;-;-;-;-;1;28;40;41;50;56;72;65;72;86;63;86;68;59;32;12;831
Bahia;1;-;-;-;1;1;11;52;120;213;404;340;420;392;397;438;423;399;392;354;277;183;4819
Minas Gerais;-;-;-;-;-;-;4;64;142;412;823;708;927;877;929;865;967;852;742;700;637;460;10109
Espirito Santo;-;-;-;-;-;-;1;40;70;177;148;186;216;225;186;165;192;163;123;103;73;69;2137
Rio de Janeiro;-;-;-;-;1;4;15;82;175;469;708;564;630;676;567;525;559;557;515;470;462;475;7456
São Paulo;-;-;-;-;2;4;11;59;158;784;1880;1636;1997;1716;1805;1843;1890;1848;1588;1627;1543;1134;21525
Paraná;-;-;-;-;1;3;25;101;171;362;556;490;653;640;682;680;648;612;476;429;312;147;6988
Santa Catarina;-;-;-;-;-;-;11;35;92;224;313;317;460;357;419;379;381;372;301;301;275;124;4361
Rio Grande do Sul;-;-;-;-;1;-;3;15;81;395;597;545;665;571;700;779;865;669;598;610;431;197;7722
Mato Grosso do Sul;-;-;-;-;-;-;13;48;48;100;91;95;134;105;154;141;150;134;111;79;54;22;1479
Mato Grosso;-;-;-;-;-;-;1;15;21;49;100;78;131;121;101;100;113;98;106;90;58;34;1216
Goiás;-;-;-;-;-;4;5;27;35;107;170;132;203;156;179;178;198;165;175;144;163;82;2123
Distrito Federal;-;-;1;-;-;1;2;9;10;27;39;40;54;48;53;35;48;48;46;55;45;21;582
Total;2;1;1;1;11;32;131;683;1478;4170;7622;6668;8357;7498;7785;7603;7977;7534;6681;6511;5581;3831;90161
