Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Óbitos por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2022;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2020/Out;2021/Jan;2021/Abr;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;Total
Rondônia;-;-;-;-;-;-;-;-;11;36;82;50;53;53;68;46;55;49;51;52;34;26;666
Acre;-;-;-;-;-;-;-;8;17;31;56;37;28;30;46;41;46;29;28;12;15;12;436
Amazonas;-;-;-;-;-;1;2;5;31;117;135;115;104;76;113;98;128;104;114;109;51;31;1334
Roraima;-;-;-;-;-;-;-;1;2;13;25;12;16;17;29;22;32;29;24;15;7;-;244
Pará;-;1;-;-;1;-;5;27;27;167;401;184;211;192;247;232;244;164;166;157;122;74;2622
Amapá;-;-;-;-;-;-;-;1;1;10;36;21;14;26;33;28;28;27;23;28;6;6;288
Tocantins;-;-;-;-;-;-;2;18;24;62;96;49;34;44;37;49;55;55;48;26;20;14;633
Maranhão;-;-;-;-;-;-;-;9;34;147;430;188;175;215;220;196;197;161;179;161;142;62;2516
Piauí;-;-;-;-;-;-;-;13;28;76;306;129;113;142;138;137;151;133;121;103;100;58;1748
Ceará;-;-;-;-;-;1;9;40;87;233;621;331;345;458;507;457;463;398;394;363;250;177;5134
Rio Grande do Norte;-;-;-;-;-;2;5;16;29;78;173;129;98;127;161;132;125;128;109;82;89;47;1530
Paraíba;-;-;-;1;-;1;1;24;60;121;269;192;164;222;268;255;249;167;169;159;152;90;2564
Pernambuco;-;-;-;-;-;-;-;7;20;162;446;283;297;281;357;458;486;409;377;344;334;213;4474
Alagoas;-;-;-;-;-;-;2;14;19;78;154;82;75;81;93;114;104;88;90;98;74;31;1197
Sergipe;-;-;-;-;-;-;2;23;62;127;184;90;90;83;108;87;133;105;84;62;30;11;1281
Bahia;-;1;-;-;1;2;8;40;104;435;1024;476;430;487;477;476;497;439;479;369;256;163;6164
Minas Gerais;-;-;1;-;-;1;8;63;169;568;1489;844;877;841;1050;1288;1305;1053;984;888;679;553;12661
Espirito Santo;-;-;-;-;-;-;3;30;60;184;263;157;91;95;129;206;171;148;145;110;79;48;1919
Rio de Janeiro;-;-;-;-;-;85;16;122;306;712;825;610;744;673;793;933;883;795;717;704;583;285;9786
São Paulo;1;-;-;-;-;2;9;69;201;1156;2779;1732;1720;1724;2238;2422;2259;2057;2025;1895;1690;1077;25056
Paraná;-;-;-;-;1;6;18;97;195;398;649;522;479;505;744;842;736;674;528;483;414;233;7524
Santa Catarina;-;-;-;-;-;-;9;43;96;270;446;371;361;404;516;597;586;442;393;286;237;136;5193
Rio Grande do Sul;-;-;-;-;1;9;18;94;220;483;1043;660;694;776;1105;1310;1067;909;762;669;519;267;10606
Mato Grosso do Sul;-;-;-;-;-;1;6;53;88;148;235;157;126;168;195;207;210;187;143;78;50;19;2071
Mato Grosso;-;-;-;-;-;1;5;17;17;73;170;79;88;92;99;96;99;95;70;82;72;51;1206
Goiás;-;-;-;1;-;1;6;10;38;128;375;212;203;204;229;298;273;231;231;198;144;118;2900
Distrito Federal;-;-;-;-;-;-;-;7;21;36;105;67;55;72;46;52;61;48;68;53;36;26;753
Total;1;2;1;2;4;113;134;851;1967;6049;12817;7779;7685;8088;10046;11079;10643;9124;8522;7586;6185;3828;112506
