Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Óbitos por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2023;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2008/Jan;2017/Set;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;Total
Rondônia;-;-;-;-;-;-;-;13;21;36;56;57;80;80;68;70;71;72;41;50;36;21;772
Acre;-;-;-;-;-;-;-;3;4;28;32;30;36;44;42;46;42;40;30;32;19;12;440
Amazonas;-;-;-;-;-;-;1;2;34;56;101;115;103;116;136;133;108;105;60;41;52;32;1195
Roraima;-;-;-;-;-;-;-;7;19;23;19;25;27;33;25;25;29;30;13;7;1;-;283
Pará;-;-;-;-;1;-;4;17;43;109;220;222;231;259;246;241;235;211;231;209;147;96;2722
Amapá;-;-;-;-;-;-;-;5;7;28;23;27;30;29;31;42;31;26;22;37;26;10;374
Tocantins;-;-;-;-;-;1;7;22;24;55;63;46;56;81;94;51;69;69;45;43;34;13;773
Maranhão;-;-;-;-;-;-;5;15;44;112;191;180;217;234;235;203;206;219;186;174;130;82;2433
Piauí;-;-;-;-;-;-;1;20;32;78;122;105;125;150;151;154;129;161;133;157;126;75;1719
Ceará;-;-;-;-;-;-;7;26;76;231;358;352;457;502;474;413;437;402;366;359;325;209;4994
Rio Grande do Norte;-;-;-;1;-;1;5;19;24;63;90;100;98;121;129;117;120;106;129;98;91;56;1368
Paraíba;-;-;-;-;-;-;3;19;40;75;158;154;196;206;214;194;190;214;155;183;137;103;2241
Pernambuco;-;-;-;-;-;1;5;6;24;166;345;331;345;433;447;404;442;341;368;365;330;251;4604
Alagoas;-;-;-;-;-;3;3;25;48;78;114;83;106;132;142;125;121;133;119;127;92;49;1500
Sergipe;-;-;-;-;-;-;2;25;48;82;82;60;84;112;105;95;123;93;64;68;46;13;1102
Bahia;-;-;-;-;-;1;14;46;149;316;457;413;457;496;552;564;574;548;468;434;349;196;6034
Minas Gerais;1;-;-;-;1;-;9;79;179;519;941;838;1066;1082;1227;1226;1299;1082;1095;1007;1029;522;13202
Espirito Santo;-;-;-;-;-;-;5;20;39;106;134;138;176;154;160;157;167;148;152;128;106;61;1851
Rio de Janeiro;-;-;-;-;1;1;11;69;170;437;702;604;778;761;836;908;889;838;731;716;571;295;9318
São Paulo;-;1;-;2;5;11;26;90;239;859;1822;1605;2053;2015;2382;2576;2482;2106;2054;1811;1915;994;25048
Paraná;-;-;-;-;-;2;12;72;130;338;475;396;543;604;672;683;679;654;604;496;397;213;6970
Santa Catarina;-;-;1;-;-;1;14;50;99;202;340;267;358;440;529;483;471;396;363;342;281;120;4757
Rio Grande do Sul;-;-;-;-;-;1;12;64;184;449;738;523;664;754;957;906;920;821;750;677;524;249;9193
Mato Grosso do Sul;-;-;-;-;1;1;12;82;116;133;133;107;159;170;185;193;151;139;183;103;53;16;1937
Mato Grosso;-;-;-;-;-;1;3;19;41;53;109;81;117;148;168;131;136;125;94;78;65;56;1425
Goiás;-;-;1;-;-;2;4;25;41;119;207;203;258;228;303;243;268;248;247;220;189;106;2912
Distrito Federal;-;-;-;-;-;-;-;2;9;28;81;57;69;85;78;61;75;70;62;72;60;27;836
Total;1;1;2;3;9;27;165;842;1884;4779;8113;7119;8889;9469;10588;10444;10464;9397;8765;8034;7131;3877;110003
