Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Taxa Mortalidade por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2019;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2018/Fev;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;Total
Rondônia;-;...;33,33;50;22,73;11,49;8,39;6,94;4,12;6,9;7,13;5,38;4,57;5,25;4,44;3,88;4,02;5,05;5,87;5,47;4,29;6,13;5,21
Acre;...;...;75;40,91;27,78;25;29;22,63;8,9;16,67;11,28;13,99;7,76;12,5;10,71;9,85;11,81;14,49;11,21;10,24;10,78;9,82;12,74
Amazonas;100;...;...;...;-;19,39;14,14;10,4;7,14;7,8;7,24;6,19;4,9;5,04;5,73;5,49;4,43;6,47;8,85;6,21;7,18;3,69;6,35
Roraima;...;...;...;...;-;-;1,4;4,55;7,63;10,98;8,02;10;9,59;7,63;8,33;7,62;8,97;9,62;5,28;6,81;7,05;14,94;7,76
Pará;-;...;66,67;20;13,33;9,47;4,9;4,98;4,63;5,15;4,31;4,15;3,66;2,86;3,14;3,52;4,53;4,75;4,04;3,6;3,78;3,83;3,94
Amapá;...;...;...;...;50;-;3,45;5,24;7,24;7,04;7,14;6,92;4,59;5,63;4,38;4,3;6,05;5,03;4,19;6,15;3,16;4,98;5,28
Tocantins;...;...;...;...;18,18;19,05;12,37;9,76;5,95;6,75;10,41;9,45;5,08;6,56;7,08;7,81;9,15;9,28;10,38;6,29;4,3;1,02;7,45
Maranhão;...;...;...;-;-;7,76;5,21;6,02;3,27;3,72;4,07;3,56;3,21;2,88;3,41;3,38;3,72;3,65;3,53;4,18;2,91;2,4;3,5
Piauí;...;...;...;...;28,57;12,82;7,52;8,19;5,56;5,05;6,69;5,8;4,2;5,18;5,17;5,38;4,25;5,2;5,74;5,48;6,53;6,24;5,44
Ceará;...;...;...;-;18,18;17,41;15,4;11,25;10,53;9,67;9,47;7,2;7,47;8,24;8,41;8,39;9,24;9,01;8,75;8,93;9,95;8,56;8,89
Rio Grande do Norte;...;...;...;100;18,18;16;11,24;11,42;9,98;10,36;13,03;11,46;8,43;9,53;10,45;11,47;9,51;9,57;9,44;14,79;10,86;11,54;10,64
Paraíba;...;...;...;-;7,69;10,59;10,7;15,37;7,83;9,74;10,59;9,24;8,35;6,71;10;9,4;8,58;8,81;7,65;7,87;7,51;7,85;8,77
Pernambuco;...;...;...;...;-;5,88;2,86;10,03;8,11;9,82;8,92;7,88;6,93;7,04;7,14;7,99;7,71;8,32;7,55;7,54;8,33;7,81;7,89
Alagoas;...;...;-;40;6,25;4,21;10,17;13,33;10,08;13,8;10,73;11,79;10,45;8,6;9,42;8,95;7,71;9,27;10,79;9,68;9;6,93;9,85
Sergipe;...;...;...;100;13,16;10,38;11,57;12,89;10;14,98;18,74;10,98;12,46;9,32;10,75;10,74;13,38;10,6;8,27;7,51;4,74;3,61;10,82
Bahia;-;-;11,11;17,39;7,14;10,69;9,68;7,89;6,72;6,6;7,42;8,32;7,48;5,28;5,88;6,25;6,91;6,82;6,97;6,32;7;6,42;6,74
Minas Gerais;-;-;-;20;11,11;11,86;10,59;9,39;8,36;9,13;10,65;10,09;8,28;7,37;7,48;8,31;9,56;9,17;9,24;8,94;8,9;8,88;8,84
Espirito Santo;-;...;...;...;6,06;7,21;5,93;7,93;6,88;8,16;9,71;9,91;7,42;6,12;7,39;7,75;7,71;8,43;6,88;6,96;8,57;7,68;7,67
Rio de Janeiro;...;100;25;20;23,19;14,46;13,64;14,05;13,19;15,02;16,52;16,18;13,76;11,4;11,07;11,37;13,22;13,67;12,94;12,96;11,31;9,4;12,97
São Paulo;-;-;40;24;10,34;10,47;13,15;11,37;9,22;11,62;13,14;10,96;9,36;7,46;9;10,93;12,28;10,34;10,48;9,81;9,77;9,63;10,24
Paraná;-;-;-;14,29;19,51;11,48;8,71;8,58;6,44;7,58;8,47;7,17;6,92;5,39;5,53;6,33;6,69;6,62;7,15;6,45;5,59;5,16;6,64
Santa Catarina;...;...;50;25;30,43;10,4;10,11;10,19;8,09;9,49;10,19;10,21;8,34;7,48;6,95;8,02;8,35;8,65;8,05;7,61;7,43;6,13;8,26
Rio Grande do Sul;...;-;44,44;16,46;14,48;10,77;10,64;10,11;10,49;11,5;13,06;12,55;9,88;9,72;8,26;8,11;10,74;10,08;9,3;9,04;9,6;8,44;9,92
Mato Grosso do Sul;-;...;66,67;45,45;26,09;16,38;11,95;10,03;7,03;8,95;10,74;9,3;7,04;7,63;7,44;8,53;8,4;9,07;8,75;7,05;6,83;5,93;8,49
Mato Grosso;...;...;...;-;-;9,43;6,05;6,07;7,7;8,42;7,25;7,34;6,24;5,31;7,62;7,51;8,3;7,44;6,89;7,44;5,74;3,96;6,97
Goiás;...;...;25;6,67;10,34;13,25;13;10,39;7,14;7,73;7,92;7,45;5,69;6,1;6,76;7,16;7,17;7,85;7,28;6,93;6,59;6,18;7,15
