Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Taxa Mortalidade por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2021;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2020/Jan;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;Total
Rondônia;...;...;...;...;-;...;-;-;3,7;13,5;11,95;10,17;13,22;9,07;8,47;7,13;7,11;7,38;5,61;6,26;5,89;4,53;7,96
Acre;...;...;...;...;...;...;...;11,11;25;28,3;11,16;16,74;14,29;16,75;12,3;7,48;12,32;11,63;12,78;10,8;10,66;7,59;12,76
Amazonas;...;...;...;...;...;...;66,67;4,55;11,72;8,73;23,88;18,07;9,85;6,66;6,25;5,81;5,96;5,94;7,01;6,94;4,46;4,9;9,25
Roraima;...;...;...;...;...;...;...;-;4,17;8,93;10,51;10,78;5,99;5,5;4,2;4,46;5,29;4,46;4,44;7,31;7,55;15,56;6,54
Pará;100;-;...;...;...;-;40;10,46;12,95;9,09;6,8;6,37;8,24;6,82;6,17;5,4;6,26;5,66;5,48;4,97;5,28;5,27;6,3
Amapá;...;...;...;...;...;...;...;-;2,44;10,13;3,57;3,43;8,27;9,39;4,96;6,04;5,17;4,11;2,31;4,24;4,37;4,74;5,18
Tocantins;...;...;...;...;...;...;18,75;16,09;14,73;18,64;14,66;10,5;11,79;9,69;10,56;11,42;9,21;11,17;13,21;7,27;6,28;2,6;11,14
Maranhão;...;...;...;...;...;100;-;7,84;8,44;8,71;5,03;5,13;5,26;4,68;4,53;4,35;5,13;4,82;4,13;5,35;4,11;2,96;4,73
Piauí;...;...;...;...;...;...;12,5;9,84;13,11;9,11;6,89;6,75;7,39;6,33;5,96;6,66;7,18;8,06;7,65;8,47;6,81;4,54;7,05
Ceará;...;...;...;100;100;44,83;16;17,07;12,95;14,54;13,74;12,97;16,04;15,97;12,14;10,7;10,54;10,9;11,38;11,61;10,22;9,58;12,33
Rio Grande do Norte;...;...;...;...;...;-;11,11;18,18;17,57;17,23;16,42;15,69;17;11,89;11,26;9,31;13,12;13,06;10,97;12,43;13,05;11,44;13,01
Paraíba;...;...;...;...;...;100;50;14,29;22,58;27,74;16,84;15,27;15,91;14,63;11,69;15,12;13,97;14,05;14,86;13,37;9,53;10,55;14,2
Pernambuco;...;...;...;...;...;...;-;9,62;11,54;8,69;9,06;8,44;8,12;8,84;7,89;8,01;8,5;8,86;9,13;8,41;9,29;8,36;8,58
Alagoas;...;100;...;...;-;...;30;34,48;23,6;19,79;11,76;10,83;13,27;11,86;12,75;8,41;11,83;14,36;10,35;10,98;10,12;11,75;11,97
Sergipe;...;...;...;...;...;-;5,56;20;20,41;20,1;17,06;14,07;14,52;14,84;14,2;13,29;12,28;16,04;14,47;10,87;9,76;7,5;14,11
Bahia;50;...;...;...;25;11,11;14,29;15,52;18,02;13,83;11,3;10,01;11,32;11,26;9,51;10,66;10,15;9,65;10,43;10,04;8,28;7,04;10,34
Minas Gerais;...;...;...;...;-;-;6,9;13,17;12,15;14,09;13,83;13,23;13,64;14,41;13,39;13,04;13,15;12,27;11,72;10,82;9,74;8,31;12,39
Espirito Santo;...;...;...;...;...;...;14,29;15,56;11,9;13,2;10,55;12,58;11,73;15,41;11,68;10,52;11,09;9,9;9,7;9,57;7,64;9,84;11,3
Rio de Janeiro;-;...;...;...;33,33;30,77;32,61;27,52;23;21,77;16,21;16,41;15,03;20,14;15,29;15,66;15,1;15,5;15,44;13,31;12,3;15,05;15,94
São Paulo;...;...;...;...;50;28,57;18,33;14,5;14,44;17,18;15,38;12,93;13,64;16,31;14,27;14,85;13,69;12,64;11,32;11,03;9,72;9,17;12,91
Paraná;...;...;...;-;100;21,43;26,6;19,31;18,02;18,5;14,74;13,55;18,67;19,13;17,23;18,49;14,57;12,74;11,16;10,04;7,82;6,48;14,13
Santa Catarina;...;...;...;...;...;-;29,73;19,66;17,73;17,88;13,28;14,04;20,05;15,39;13,55;12,91;12,66;12,23;9,83;9,63;9,66;7,92;12,87
Rio Grande do Sul;...;...;...;-;100;-;15,79;11,72;14,46;19,2;16,2;16,94;22,01;17,25;15,28;15,24;14,23;11,24;11,18;10,79;10,29;9,5;14,04
Mato Grosso do Sul;...;...;...;...;-;-;25,49;20,51;14,63;15,31;10,98;10,78;14,89;13,19;15,48;13,62;12,67;11,71;11,51;9,06;7,31;8,06;12,45
Mato Grosso;...;...;...;...;-;-;14,29;15,15;14,69;16,17;11,98;10,61;13,49;15,05;10,14;10,86;12,46;11,04;12,56;10,5;6,91;4,76;11,19
Goiás;...;...;...;...;-;22,22;10,87;16,27;11,08;14,5;11;10,99;15,13;12,6;12,29;11,73;12,06;10,48;11,9;10,03;10,39;6,97;11,5
Distrito Federal;...;...;100;...;-;100;18,18;7,56;4,74;7,24;4,85;4,56;3,72;4,4;4,42;3,54;4,78;4,44;3,74;4,64;4,03;2,15;4,24
Total;50;50;100;33,33;42,31;26,45;19,44;16,37;14,88;15,68;13,27;12,13;13,3;13,62;12,06;12,12;11,86;11,05;10,43;9,95;8,92;8,14;11,65
