Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Taxa Mortalidade por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2022;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2021/Jan;2021/Fev;2021/Abr;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;Total
Rondônia;...;;...;...;...;...;-;-;8,94;8,57;6,58;7,09;3,92;3,6;4,04;3,21;5,06;5,38;4,75;5,34;4,08;5,05;4,8
Acre;...;;...;...;...;...;-;26,67;18,48;12,2;11,34;16,3;8,64;5,76;8,23;7,92;11,56;9,51;10,41;4,48;6,3;9,38;9,42
Amazonas;...;;...;...;...;50;22,22;10,42;10,47;11,02;7,39;10,17;5,71;3,6;5,06;4,83;6,59;6,05;7,59;8,67;5,21;4,61;6,46
Roraima;...;;...;...;...;...;-;1,61;1,08;5,02;8,36;4,98;4,66;5,56;5,58;3,55;7,31;5,98;6,03;7,5;7,29;-;5,39
Pará;50;;...;...;100;...;33,33;10,42;5,47;6,68;6,77;6,85;5,24;3,77;3,88;4,31;5,69;4,71;4,34;4,18;3,79;3,77;4,92
Amapá;...;;...;...;...;...;...;11,11;1,43;5,32;7;8,57;3,63;5;5,84;5,83;7,37;8,16;6,34;7,98;2,51;4,48;6,03
Tocantins;...;;...;...;...;...;8,33;13,33;11,88;16,06;10,13;9,84;4,28;4,93;4,33;7,29;10,19;10,13;8,32;6,84;6,76;7,22;7,98
Maranhão;...;;...;...;...;-;-;8,49;9,74;5,92;6,18;6,62;4,33;4,47;3,8;3,52;4,26;4,35;4,85;4,78;4,7;3,01;4,71
Piauí;...;;...;...;-;...;-;22,03;16,67;10,94;9,99;8,91;6,37;6,2;5,7;5,84;7,37;6,88;6,72;6,31;6,58;4,8;7,16
Ceará;...;;...;-;-;33,33;23,68;14,93;13,04;12,98;12,03;12,05;7,45;6,98;6,3;7,38;10,66;8,25;8,7;8,35;7,26;8,4;8,6
Rio Grande do Norte;...;;...;...;...;33,33;29,41;28,07;17,9;18,66;13,48;16,31;11,1;9,58;9,68;9,42;11,95;11,8;10,67;9,19;11,53;10,44;11,53
Paraíba;...;;...;100;-;25;7,14;26,37;27,78;24,2;13,63;18,08;10,15;9,93;9,78;10,07;12,58;8,81;10,03;9,63;10,66;11,11;11,43
Pernambuco;-;;...;...;...;...;-;8,64;4,03;10,67;10,22;11,85;8,28;6,1;6,06;7,34;10,23;7,98;9,29;8,41;8,51;7,43;8,29
Alagoas;...;;...;...;...;...;25;26,42;27,94;19,31;14,5;12,93;8,24;8,84;8,31;9,25;9,77;8,37;9,45;10,49;9,93;7,75;10,36
Sergipe;...;;...;...;...;...;28,57;23,71;21,31;17,91;16,68;15,65;10,49;9,74;10,6;9,02;14,91;12;10,33;9,23;8,4;7,69;12,53
Bahia;50;;-;...;100;25;13,56;14,04;13,51;13,19;11,63;11,11;7,64;7,56;6,45;6,71;7,94;7,14;8,37;6,83;5,95;5,95;8,26
Minas Gerais;...;;...;...;-;11,11;10,96;12,21;11,21;9,75;9,93;10,53;8,34;7,98;7,92;8,94;10,16;9,05;8,65;8,89;7,92;9,52;9,05
Espirito Santo;...;;...;...;...;...;11,54;11,9;11,9;12,42;11,32;12,63;4,96;4,85;5,69;8,03;8,06;7,67;7,55;7,22;6,95;8,56;8,11
Rio de Janeiro;...;;...;-;-;61,15;32,65;30,89;28,44;21,05;17,81;15,21;12,7;10,87;10,87;13,36;13,42;12,56;13,25;13,94;13,84;12,22;13,99
São Paulo;...;;...;...;-;14,29;12,33;11,56;11,1;12,33;14,06;12,95;9,42;8,39;9,8;10,83;11,27;10,38;10,61;9,43;9,76;9,42;10,58
Paraná;-;;...;...;100;40;18,56;13,31;12,88;11,69;10,71;12,45;8,41;6,33;7,1;7,87;7,91;8,46;7,56;7,16;7,37;6,46;8,26
Santa Catarina;...;;...;...;-;-;26,47;14,14;12,4;12,74;11,34;13,3;9,79;8,04;7,97;8,69;9,96;8,91;8,77;7,31;7,13;7,21;9,2
Rio Grande do Sul;...;;...;...;25;32,14;30;15,56;14,99;14,86;17,7;16,18;12,25;9,7;10,14;11,48;10,08;10,47;10,01;9,48;9,54;9,63;11,34
Mato Grosso do Sul;...;;...;...;...;16,67;10,71;18,4;16,27;12,76;11,95;14,32;8,51;8,41;7,86;8,46;9,25;10,04;8,67;6,92;5,49;5,48;9,55
Mato Grosso;...;;...;...;...;25;31,25;12,32;9,66;10,67;9,17;7,96;4,96;4,51;5,05;4,99;6,16;6,38;4,83;5,12;5,76;6,81;6,12
Goiás;...;;...;100;-;25;33,33;10,64;11,11;10,17;10,02;10,14;7,52;7,83;7,67;9,3;10,26;8,27;8,06;7,74;7,09;8,36;8,69
Distrito Federal;...;;...;...;...;-;-;7,29;5,95;3,68;5,33;5,34;2,26;3,32;2,13;2,62;3,91;3,2;4,7;4,32;3,58;3,56;3,61
Total;33,33;;100;50;17,39;45,02;18,36;14,94;13,37;12,14;11,43;11,85;8,27;7,35;7,61;8,55;9,54;8,83;8,83;8,33;8,11;7,96;9,07
