Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Taxa Mortalidade por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2023;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2022/Mar;2022/Abril;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;Total
Rondônia;;;...;...;-;-;-;17,57;14,89;11,18;8,82;5,91;4,95;3,83;3,32;4,71;5,51;5,96;3,81;4,95;4,83;3,99;5,06
Acre;;;...;...;...;-;-;9,68;5,88;17,18;10,81;10,71;10,65;10,23;6,9;6,46;5,88;7,29;6,93;6,65;5,67;7,1;7,83
Amazonas;;;...;...;...;-;14,29;2,06;11,97;8,59;7,62;7,92;5,08;4,47;4,46;4,29;4,11;4,88;3,78;2,78;4,46;4,8;4,93
Roraima;;;...;...;...;-;-;2,69;6,07;6,46;4,91;6,27;6,15;8,62;4,51;4,02;4,3;4,78;3,25;4,4;4;0;4,96
Pará;;;...;...;50;-;25;8,85;7,62;7,66;6,28;6,27;4,41;4,51;3,77;4,1;5,09;4,78;5,32;5,32;4,48;4,64;4,92
Amapá;;;...;...;...;...;-;4,95;5,43;15,73;7,12;7,58;5,91;4,87;3,77;5,53;5,52;4,69;5,68;9,81;11,26;7,69;6,21
Tocantins;;;...;...;...;100;18,92;8,84;9,13;14,47;12,73;7,03;5,86;7,98;8,66;5,7;9,87;9,94;6,51;9,98;9,29;5,63;8,45
Maranhão;;;...;...;...;-;62,5;11,81;11,03;9,87;6,57;5,78;4,44;4,15;3,46;3,34;4,31;5,36;4,79;4,56;3,97;3,62;4,57
Piauí;;;...;...;...;...;16,67;16,67;12,4;12,4;7,42;6,33;5,61;5,74;4,61;5,84;5,76;7,62;6,88;8,13;7,44;7,96;6,63
Ceará;;;...;...;-;-;11,86;7,32;9,37;13,77;11,07;8,72;7,5;6,56;5,31;5,97;8,69;8,22;7,54;7,77;8,05;8,26;7,6
Rio Grande do Norte;;;...;100;-;100;26,32;16,1;10,34;14,19;10,44;11,95;9,96;9,34;7,66;8,45;8,44;7,6;9,66;9,18;10,11;8,87;9,36
Paraíba;;;...;...;...;-;18,75;17,27;14,55;11,66;11,92;10,53;8,97;7,13;6,88;7,7;8,24;8,81;7,96;9,62;8,24;9,84;8,67
Pernambuco;;;...;...;...;25;5,1;5,77;8,89;12,63;9,98;9,57;7,9;7,81;6,77;7,15;8,68;7,08;8,37;7,57;8,21;9,92;8,14
Alagoas;;;...;...;-;42,86;11,11;22,94;18,18;19,35;14,75;12,24;10,41;12,75;11,72;10,44;11,99;12,56;12,75;14,17;14,96;16,72;13,01
Sergipe;;;...;...;...;-;11,11;15,72;14,04;16,11;14,04;10,71;10,12;9,14;8,86;9,16;12,02;10,12;6,74;8,96;10,82;5;10,22
Bahia;;;...;...;...;33,33;16,28;11,27;13,63;13,06;9,92;9,27;6,14;6,42;6,12;7,08;7,63;7,5;7,44;7,38;7,56;6,91;7,57
Minas Gerais;;;...;-;25;-;13,04;10,41;10,73;11,6;10,47;8,25;7,45;8,09;8,22;8,65;8,8;8,54;9,64;10,25;12,02;10,51;9,1
Espirito Santo;;;...;...;...;-;11,11;7,27;7,37;10,98;9,54;8,93;7,29;6,27;6,33;6,71;7,32;6,61;8;8,26;8,96;9,78;7,62
Rio de Janeiro;;;...;-;100;10;19,64;17,56;18,4;20,02;16,82;13,41;11,67;9,57;10,3;12,85;13,5;13,5;12,7;13,3;13,52;12,86;12,85
São Paulo;;;...;50;41,67;15,07;14,36;9,34;11,09;14,02;11,97;8,44;8,64;8,65;9,35;10,69;11,05;9,49;10,67;10,02;11,6;9,46;10,04
Paraná;;;...;...;-;8;12,5;9,2;9,8;11,9;8,93;6,5;5,77;6,34;6,44;6,96;7,12;7,16;7,69;7,18;6,76;6,09;7,08
Santa Catarina;;;100;...;...;11,11;26,92;11,63;10,66;10,68;10,41;8,37;7,15;7,71;7,53;8,24;8,07;7,5;7,57;7,52;8;6,28;8,03
Rio Grande do Sul;;;-;-;-;7,69;11,43;10,34;14,09;13,17;14,17;12,44;9,22;9,37;8,74;9,04;9,63;9,23;9,9;9,55;9,59;8,82;9,94
Mato Grosso do Sul;;;...;...;50;20;16,9;14,26;14,55;12,35;12,28;8,96;6,65;6,82;7,04;8,88;6,66;7,84;11;8,14;6,16;4,8;8,55
Mato Grosso;;;...;...;...;100;18,75;13,1;15,24;9,62;9,2;4,98;4,57;5,34;6,29;6,37;7,25;6,71;5,93;5,63;5,9;6,93;6,34
Goiás;;;100;-;-;25;12,5;8,87;7,28;9,21;7,24;5,46;5,72;5,99;7,47;6,98;7,63;7,69;8,34;8,73;8,65;7,14;7,19
Distrito Federal;;;...;...;-;-;-;2,3;3,9;3,5;5,21;2,75;2,46;3,46;3,31;3,05;4,3;4,07;4,34;5,14;4,71;4,37;3,71
Total;;;66,67;30;25;14,29;13,33;10,62;11,49;12,49;10,59;8,35;7,27;7,26;7,17;7,92;8,57;8,21;8,63;8,59;9,13;8,25;8,37
