Morbidade Hospitalar do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Taxa Mortalidade por Unidade da Federação e Ano/mês atendimento;;;;;;;;;;;;;;;;;;;;;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;;;;;;;;;;;;;;;;;;;;;
Período: 2024;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;Total
Rondônia;5,92;4,78;4,01;3,46;4,83;5,96;5,67;5,25;5,5;4,75;7,26;6,98;6,09;3,77;4,87;4,52;4,01;6,79;4,09;5,05;5,28;4,69;5,01
Acre;9,79;13,57;8,73;7,46;6,56;7,2;6,71;4,46;8,3;5,66;7,56;8,14;9,19;7,03;5,47;6,49;9,5;6,09;9;7,63;8,97;7,92;7,66
Amazonas;5,68;5,13;3,89;4,75;4,26;5,27;4,38;4,18;3,85;4,02;6,66;6,78;5,36;5,87;4,52;3,8;4,02;4,68;7,32;6,14;5,65;3,73;4,87
Roraima;7,17;6,32;6,34;3,78;3,73;4,33;7,67;4,77;2,38;5,13;2,5;3,16;4,53;4,51;7,94;3,84;4,9;4,47;4,38;9,96;8,43;12,5;4,93
Pará;5,31;4,07;3,63;4,12;4,58;5,44;5,08;5,38;5,43;5,22;5,74;6,14;4,9;4,43;4,78;4,98;6,09;6,97;6,08;6,08;5,86;6,65;5,16
Amapá;5,99;8,15;6,11;5,06;4,09;4,82;6,12;5,51;7,78;9,81;7,87;9,71;7,82;7,13;5,25;4,54;5,21;5;3,53;3,7;3,05;5,64;5,72
Tocantins;6,63;8,49;7,74;6,19;9,54;9,97;7,24;8,06;11,89;9,01;11,09;10,5;9,49;8,38;10,85;6,69;8,05;9,47;8,71;9,85;9,69;1,08;8,66
Maranhão;3,84;4,24;3,7;3,72;3,9;4,74;5,25;4,74;5,09;4,76;7,18;7,21;5,06;4,69;5,33;4,75;5,26;5,52;5,87;7,13;7,32;8,55;5,11
Piauí;6,21;5,82;4,81;5,59;6,03;6,87;7,21;6,99;7,02;10,43;10,21;9,39;7,83;8,39;7,59;6,69;7,96;6,83;9,02;7,99;8,98;8,87;7,37
Ceará;8,67;6,57;6,49;5,69;7,13;8,03;7,76;7,54;8,17;8,84;11,68;10,05;8,4;7,91;7,44;6,94;7,42;8,94;9,32;9,96;8,46;11,84;8,05
Rio Grande do Norte;12,1;8,65;9,17;7,7;9,84;6,39;8,57;10,16;10,93;9,11;11,62;11,85;10,63;10,41;8,27;8,08;8,58;8,37;9,76;8,59;11,53;13,19;9,49
Paraíba;10,19;8,26;7,85;6,01;8,03;9,24;8,81;8,66;9,07;10,2;12,05;12,89;9,91;9,85;7,87;8,69;8,82;8,66;6,79;9,24;9,85;12,04;8,98
Pernambuco;9,33;7,63;7,26;7,06;8,35;7,49;6,07;8,39;8,49;9,9;12,23;12,38;10,89;7,88;7,16;7,6;8,4;8,7;7,97;8,85;8,4;6,12;8,33
Alagoas;11,46;12,16;12,06;12,12;10,84;13,35;11,37;12,76;14,96;16,86;20,06;16,31;15,95;14,94;13,57;10,11;12,62;12,99;11,97;16,35;13,58;14,45;13,39
Sergipe;12,81;10,3;8,45;11,93;8,64;10,4;9,06;9,22;10,43;9,72;13,57;11,98;14,21;11,89;10,34;9,47;8,79;11,24;8,71;10,59;11,09;11,87;10,5
Bahia;7,49;6,52;6,51;6,81;7,67;7,08;7,17;7,39;7,61;9,08;9,56;10,59;9,63;8,33;7,32;7,11;7,78;7,52;7,3;7,35;7,86;7,85;7,68
Minas Gerais;8,22;7,8;8,15;8,31;8,66;8,68;9;10,3;11,03;11,24;11,52;11,5;10,94;8,49;8,08;8,53;8,2;9,07;8,93;8,77;9,01;9,44;9,1
Espirito Santo;8,24;7,36;6,45;6,75;7,05;7,49;7,8;7,88;8,74;8,31;9,73;11,39;9,2;6,55;7,28;7,17;7,73;6,52;5,6;6,73;8,21;7,89;7,56
Rio de Janeiro;12,77;9,31;9,7;11,71;11,97;12,95;14,17;14,24;15,62;15,02;16,45;18,35;14,72;12,02;10,97;11,93;12,01;13,13;11,89;13,98;13,68;14,33;12,91
São Paulo;8,58;8,88;8,74;9,89;10,37;10,18;10,94;10,49;11,41;11,33;13,89;11,91;10,9;9,9;10,1;10,51;10,9;10,58;10,76;10,24;10,39;10,94;10,44
Paraná;6,19;5,89;5,91;6,69;7,12;6,9;7,21;7,55;7,65;8,25;7,66;8,52;8,44;7,25;6,73;6,38;7,37;7,15;7,25;7,39;6,91;6,66;7,08
Santa Catarina;7,67;6,8;7,11;8,25;8,33;7,95;7,19;7,78;8,6;8,29;9,46;9,81;8,09;7,75;7,43;7,89;8,49;8,01;7,86;7,73;7,36;7,12;7,91
Rio Grande do Sul;10,75;9,79;8,63;8,71;9,55;9,29;9,77;9,73;10,45;10,04;12,01;14,2;11,63;10,53;10,57;10,26;10,97;10,57;9,87;9,52;10,28;10,42;10,19
Mato Grosso do Sul;8,45;8,5;6,37;7,24;7,1;8,3;8,58;8,13;10,45;10,76;11;11,41;10,63;8,6;7,6;8,61;8,95;9,39;8,06;9,57;10,61;8,78;8,8
Mato Grosso;5,54;5,4;6;6,1;6,16;6,89;7,05;5,78;6,62;7,1;8,07;6,46;4,85;4,82;6,01;5,45;6,09;7,85;7,11;6,61;6,39;8,77;6,27
Goiás;6,16;5,64;6,48;6,74;6,3;6,81;7,84;9,86;9,22;8,62;8,75;8,79;7,63;7,25;6,79;6,63;7,9;8,54;7,99;7,64;7,52;8,52;7,46
Distrito Federal;3,11;2,65;3,4;3,87;4,08;3,16;3,79;4,55;4,46;5,52;4,39;4,21;3,64;3,34;3,29;3,58;4,13;4,86;4,38;4,21;5,41;3,98;3,88
Total;8;7,28;7,1;7,57;8,11;8,3;8,55;8,79;9,4;9,61;10,91;10,81;9,49;8,25;7,99;8,1;8,64;8,91;8,67;8,86;8,97;9,39;8,59
